InputBits	Constant	Area
8	178	2885860.000000
8	179	2204500.000000
8	180	3362140.000000
8	181	2638000.000000
8	182	3071500.000000
8	183	2005200.000000
8	184	3342700.000000
8	185	2616390.000000
8	186	3191060.000000
8	187	2052860.000000
8	188	2796440.000000
8	189	2466920.000000
8	190	2864250.000000
8	191	433500.000000
8	192	3071310.000000
8	193	2507780.000000
8	194	2505610.000000
8	195	1879860.000000
8	196	2919670.000000
8	197	1942080.000000
8	198	2789640.000000
8	199	1610390.000000
8	200	3018060.000000
8	201	2291750.000000
8	202	2866420.000000
8	203	1728220.000000
8	204	2830250.000000
8	205	2161720.000000
8	206	2678610.000000
8	207	1460920.000000
8	208	2941280.000000
8	209	2768030.000000
8	210	2375580.000000
8	211	2204500.000000
8	212	3362140.000000
8	213	2618560.000000
8	214	3052060.000000
8	215	1480360.000000
8	216	2657250.000000
8	217	2507780.000000
8	218	2928640.000000
8	219	1913860.000000
8	220	2505610.000000
8	221	1942080.000000
8	222	2375580.000000
8	223	867000.000000
8	224	2505610.000000
8	225	2356140.000000
8	226	2353970.000000
8	227	2185060.000000
8	228	2768030.000000
8	229	1790440.000000
8	230	2638000.000000
8	231	1458750.000000
8	232	2495140.000000
8	233	2596950.000000
8	234	2343500.000000
8	235	2033420.000000
8	236	2777000.000000
8	237	2466920.000000
8	238	2353970.000000
8	239	895220.000000
8	240	2789640.000000
8	241	2616390.000000
8	242	2223940.000000
8	243	1638800.000000
8	244	3188890.000000
8	245	2466920.000000
8	246	2900420.000000
8	247	1328720.000000
8	248	2505610.000000
8	249	1942080.000000
8	250	2375580.000000
8	251	1706610.000000
8	252	2746420.000000
8	253	1790440.000000
8	254	2223940.000000
