InputBits	Constant	Area
8	67	1771000.000000
8	68	2985980.000000
8	69	2798420.000000
8	70	3121140.000000
8	71	1599920.000000
8	72	2495140.000000
8	73	2324060.000000
8	74	2343500.000000
8	75	1619360.000000
8	76	2646780.000000
8	77	2475700.000000
8	78	2548580.000000
8	79	1428840.000000
8	80	2495140.000000
8	81	2324060.000000
8	82	2343500.000000
8	83	2152980.000000
8	84	3808320.000000
8	85	2172420.000000
8	86	3028760.000000
8	87	1448280.000000
8	88	3917180.000000
8	89	2475700.000000
8	90	3028760.000000
8	91	2304620.000000
8	92	3332040.000000
8	93	2798420.000000
8	94	2343500.000000
8	95	724140.000000
8	96	2514580.000000
8	97	2627340.000000
8	98	2362940.000000
8	99	2456260.000000
8	100	2757560.000000
8	101	2475700.000000
8	102	2909200.000000
8	103	1751560.000000
8	104	2757560.000000
8	105	2495140.000000
8	106	2605920.000000
8	107	2304620.000000
8	108	3351480.000000
8	109	2738120.000000
8	110	2362940.000000
8	111	1580480.000000
8	112	2646780.000000
8	113	2475700.000000
8	114	2495140.000000
8	115	2607900.000000
8	116	3351480.000000
8	117	2324060.000000
8	118	3180400.000000
8	119	1523140.000000
8	120	2495140.000000
8	121	3101700.000000
8	122	2343500.000000
8	123	1619360.000000
8	124	2646780.000000
8	125	2475700.000000
8	126	2495140.000000
8	127	0.000000
8	128	2950060.000000
8	129	2778980.000000
8	130	2798420.000000
8	131	1790440.000000
8	132	3419480.000000
8	133	2930620.000000
8	134	2950060.000000
8	135	2436820.000000
8	136	2928640.000000
8	137	2757560.000000
8	138	2777000.000000
8	139	1638800.000000
8	140	3080280.000000
8	141	2909200.000000
8	142	2798420.000000
8	143	1732120.000000
8	144	3351480.000000
8	145	3180400.000000
8	146	3381390.000000
8	147	2759540.000000
8	148	3426340.000000
8	149	3028760.000000
8	150	3274700.000000
8	151	1328720.000000
8	152	3883180.000000
8	153	3513590.000000
8	154	3494150.000000
8	155	2466730.000000
8	156	3197920.000000
8	157	2486170.000000
8	158	3046280.000000
8	159	1027420.000000
8	160	2948080.000000
8	161	3190870.000000
8	162	2796440.000000
8	163	2759540.000000
8	164	3549510.000000
8	165	3039230.000000
8	166	3765540.000000
8	167	1771000.000000
8	168	3549510.000000
8	169	2928640.000000
8	170	3397870.000000
8	171	2868150.000000
8	172	3784980.000000
8	173	3594460.000000
8	174	2796440.000000
8	175	1157640.000000
8	176	3210310.000000
8	177	2909200.000000
8	178	3765540.000000
8	179	2627340.000000
8	180	3784980.000000
8	181	3060840.000000
8	182	3080280.000000
